sub_idx,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4
4,1,73,1,0,0,-0,-0,-1,-0
4,1,74,0,0,0,-1,-0,-0,-1
4,1,75,1,1,1,-0,-1,-0,-0
4,1,76,1,1,1,1,-0,-1,-0
4,1,77,0,0,0,1,1,-0,-1
4,1,78,0,0,0,-0,1,1,-0
4,1,79,1,1,1,-0,-0,1,1
4,1,80,1,1,1,1,-0,-0,1
4,1,81,1,1,1,1,1,-0,-0
4,1,82,1,1,1,1,1,1,-0
4,1,83,0,0,0,1,1,1,1
4,1,84,1,1,1,-0,1,1,1
4,1,85,0,1,1,1,-0,1,1
4,1,86,0,0,0,0,1,-0,1
4,1,87,0,0,0,-0,0,1,-0
4,1,88,1,1,1,-0,-0,0,1
4,1,89,1,1,1,1,-0,-0,0
4,1,90,1,1,1,1,1,-0,-0
4,1,91,1,1,0,1,1,1,-0
4,1,92,0,1,0,1,1,1,1
4,1,93,0,1,0,0,1,1,1
4,1,94,1,1,0,0,0,1,1
4,1,95,0,1,0,1,0,0,1
4,1,96,1,0,1,0,1,0,0
4,1,97,1,0,1,-1,0,1,0
4,1,98,1,0,1,-1,-1,0,1
4,1,99,1,0,1,-1,-1,-1,0
4,1,100,0,0,0,-1,-1,-1,-1
4,1,101,0,1,0,NaN,-1,-1,-1
4,1,102,1,0,1,0,NaN,-1,-1
4,1,103,1,0,1,-1,0,NaN,-1
4,1,104,1,0,1,-1,-1,0,NaN
4,1,105,1,0,1,-1,-1,-1,0
4,1,106,0,0,0,-1,-1,-1,-1
4,1,107,0,0,0,-0,-1,-1,-1
4,1,108,0,1,1,-0,-0,-1,-1
4,1,109,0,0,0,0,-0,-0,-1
4,1,110,1,1,1,-0,0,-0,-0
4,1,111,0,1,1,1,-0,0,-0
4,1,112,1,1,1,0,1,-0,0
4,1,113,1,1,1,1,0,1,-0
4,1,114,0,0,0,1,1,0,1
4,1,115,1,1,1,-0,1,1,0
4,1,116,1,1,1,1,-0,1,1
4,1,117,1,1,1,1,1,-0,1
4,1,118,1,1,1,1,1,1,-0
4,1,119,0,1,1,1,1,1,1
4,1,120,1,1,1,0,1,1,1
4,1,121,1,1,1,1,0,1,1
4,1,122,1,1,1,1,1,0,1
4,1,123,1,1,1,1,1,1,0
4,1,124,1,1,1,1,1,1,1
4,1,125,1,1,1,1,1,1,1
4,1,126,0,0,0,1,1,1,1
4,1,127,0,1,0,NaN,1,1,1
4,1,128,1,0,1,0,NaN,1,1
4,1,129,0,0,1,-1,0,NaN,1
4,1,130,0,0,1,-0,-1,0,NaN
4,1,131,1,0,1,-0,-0,-1,0
4,1,132,1,0,1,-1,-0,-0,-1
4,1,133,1,0,1,-1,-1,-0,-0
4,1,134,0,1,0,-1,-1,-1,-0
4,1,135,1,0,1,0,-1,-1,-1
4,1,136,1,0,1,-1,0,-1,-1
4,1,137,1,0,1,-1,-1,0,-1
4,1,138,0,0,1,-1,-1,-1,0
4,1,139,1,0,1,-0,-1,-1,-1
4,1,140,1,0,1,-1,-0,-1,-1
4,1,141,1,0,1,-1,-1,-0,-1
4,1,142,1,0,1,-1,-1,-1,-0
4,1,143,0,0,0,-1,-1,-1,-1
4,1,144,1,0,1,NaN,-1,-1,-1
