sub_idx,Cond,Order,Group,Trial_idx,Outcome,Choice_t,Correct,winstay_t1,winstay_t2,winstay_t3,winstay_t4,loseshift_t1,loseshift_t2,loseshift_t3,loseshift_t4,RT,State
2,2,1,1,4,1,1,1,1,1,1,NaN,-0,-0,-0,NaN,0.609888542909175,1
2,2,1,1,5,0,1,1,1,1,1,1,-0,-0,-0,-0,0.729507153620943,1
2,2,1,1,6,1,1,1,0,1,1,1,-1,-0,-0,-0,1.22047328599729,1
2,2,1,1,7,1,1,1,1,0,1,1,-0,-1,-0,-0,0.647473203600384,1
2,2,1,1,8,0,0,0,1,1,0,1,-0,-0,-1,-0,1.14244059566408,1
2,2,1,1,9,1,1,1,-0,1,1,0,1,-0,-0,-1,1.02305011311546,1
2,2,1,1,10,1,1,1,1,-0,1,1,-0,1,-0,-0,0.689060451812111,1
2,2,1,1,11,0,1,1,1,1,-0,1,-0,-0,1,-0,0.668073591892608,1
2,2,1,1,12,1,1,1,0,1,1,-0,-1,-0,-0,1,0.847406059154309,1
2,2,1,1,13,1,1,1,1,0,1,1,-0,-1,-0,-0,0.687892304733396,1
2,2,1,1,14,1,1,1,1,1,0,1,-0,-0,-1,-0,0.797376681119204,1
2,2,1,1,15,0,0,0,1,1,1,0,-0,-0,-0,-1,0.565674842218868,1
2,2,1,1,16,1,1,1,-0,1,1,1,1,-0,-0,-0,0.56729051633738,1
2,2,1,1,17,1,1,1,1,-0,1,1,-0,1,-0,-0,0.950782716157846,1
2,2,1,1,18,0,1,1,1,1,-0,1,-0,-0,1,-0,0.550170247559436,1
2,2,1,1,19,1,1,1,0,1,1,-0,-1,-0,-0,1,1.40291677392088,1
2,2,1,1,20,1,1,1,1,0,1,1,-0,-1,-0,-0,0.812535661505535,1
2,2,1,1,21,0,0,0,1,1,0,1,-0,-0,-1,-0,0.528748205397278,1
2,2,1,1,22,1,1,1,-0,1,1,0,1,-0,-0,-1,1.43113446026109,1
2,2,1,1,23,1,1,1,1,-0,1,1,-0,1,-0,-0,0.64628291176632,1
2,2,1,1,24,1,1,1,1,1,-0,1,-0,-0,1,-0,0.579663236741908,1
2,2,1,1,25,1,1,1,1,1,1,-0,-0,-0,-0,1,0.744975103181787,1
2,2,1,1,26,1,1,1,1,1,1,1,-0,-0,-0,-0,0.69951425830368,1
2,2,1,1,27,0,0,0,1,1,1,1,-0,-0,-0,-0,0.47741752571892,1
2,2,1,1,28,1,1,1,-0,1,1,1,1,-0,-0,-0,0.715242863283493,1
2,2,1,1,29,1,1,1,1,-0,1,1,-0,1,-0,-0,0.914183544227853,1
2,2,1,1,30,1,1,1,1,1,-0,1,-0,-0,1,-0,0.588850606931373,1
2,2,1,1,31,1,1,1,1,1,1,-0,-0,-0,-0,1,0.613021837663837,1
2,2,1,1,32,1,1,1,1,1,1,1,-0,-0,-0,-0,1.05342088639736,1
2,2,1,1,33,1,1,1,1,1,1,1,-0,-0,-0,-0,0.515830117627047,1
2,2,1,1,34,1,1,1,1,1,1,1,-0,-0,-0,-0,0.544260461581871,1
2,2,1,1,35,1,1,1,1,1,1,1,-0,-0,-0,-0,0.90397182747256,1
2,2,1,1,36,1,1,1,1,1,1,1,-0,-0,-0,-0,0.448532349430025,1
2,2,1,1,37,1,1,1,1,1,1,1,-0,-0,-0,-0,0.691243627574295,1
2,2,1,1,38,1,1,1,1,1,1,1,-0,-0,-0,-0,0.587162672891282,1
2,2,1,1,39,1,1,1,1,1,1,1,-0,-0,-0,-0,0.540802459116094,1
2,2,1,1,40,0,0,0,1,1,1,1,-0,-0,-0,-0,0.715991126606241,1
2,2,1,1,41,1,1,1,-0,1,1,1,1,-0,-0,-0,0.535655765328556,1
2,2,1,1,42,1,1,1,1,-0,1,1,-0,1,-0,-0,0.625366153893992,1
2,2,1,1,43,1,1,1,1,1,-0,1,-0,-0,1,-0,0.586298084002919,1
2,2,1,1,44,1,1,1,1,1,1,-0,-0,-0,-0,1,0.533094532904215,1
2,2,1,1,45,1,1,1,1,1,1,1,-0,-0,-0,-0,0.45775197900366,1
2,2,1,1,46,1,1,1,1,1,1,1,-0,-0,-0,-0,0.519182114978321,1
2,2,1,1,47,0,1,1,1,1,1,1,-0,-0,-0,-0,0.471741772256792,1
2,2,1,1,48,0,0,0,0,1,1,1,-1,-0,-0,-0,0.552387797739357,1
2,2,1,1,49,1,1,1,-0,0,1,1,1,-1,-0,-0,0.998654897208326,1
2,2,1,1,50,0,1,1,1,-0,0,1,-0,1,-1,-0,0.551378806587309,1
2,2,1,1,51,1,1,1,0,1,-0,0,-1,-0,1,-1,0.623870862764306,1
2,2,1,1,52,0,0,0,1,0,1,-0,-0,-1,-0,1,0.480817410396412,1
2,2,1,1,53,0,1,1,-0,1,0,1,1,-0,-1,-0,0.679267140221782,1
2,2,1,1,54,1,0,0,0,-0,1,0,-1,1,-0,-1,0.606289531337097,1
2,2,1,1,55,0,0,0,-1,0,-0,1,0,-1,1,-0,0.505291086737998,1
2,2,1,1,56,0,0,1,-0,-1,0,-0,1,0,-1,1,0.706153834587894,0
2,2,1,1,57,0,1,0,-0,-0,-1,0,1,1,0,-1,0.58738194941543,0
2,2,1,1,58,1,0,1,0,-0,-0,-1,-1,1,1,0,0.560350842541084,0
2,2,1,1,59,0,1,0,-1,0,-0,-0,0,-1,1,1,0.95396268600598,0
2,2,1,1,60,1,0,1,0,-1,0,-0,-1,0,-1,1,0.616438889876008,0
2,2,1,1,61,0,0,1,-1,0,-1,0,0,-1,0,-1,0.597103238687851,0
2,2,1,1,62,1,0,1,-0,-1,0,-1,1,0,-1,0,0.635703233187087,0
2,2,1,1,63,1,0,1,-1,-0,-1,0,0,1,0,-1,0.64158551406581,0
2,2,1,1,64,1,0,1,-1,-1,-0,-1,0,0,1,0,0.595145997591317,0
2,2,1,1,65,0,0,1,-1,-1,-1,-0,0,0,0,1,0.499846699065529,0
2,2,1,1,66,1,0,1,-0,-1,-1,-1,1,0,0,0,0.600092775537632,0
2,2,1,1,67,1,0,1,-1,-0,-1,-1,0,1,0,0,0.604361314326525,0
2,2,1,1,68,1,0,1,-1,-1,-0,-1,0,0,1,0,0.505158799118362,0
2,2,1,1,69,1,0,1,-1,-1,-1,-0,0,0,0,1,0.612319946056232,0
2,2,1,1,70,1,0,1,-1,-1,-1,-1,0,0,0,0,0.570442003430799,0
2,2,1,1,71,1,0,0,-1,-1,-1,-1,0,0,0,0,0.43039705476258,1
2,2,1,1,72,0,0,0,-1,-1,-1,-1,0,0,0,0,0.414335536654107,1
2,2,1,1,73,1,1,1,-0,-1,-1,-1,1,0,0,0,1.23888326319866,1
2,2,1,1,74,1,1,1,1,-0,-1,-1,-0,1,0,0,0.597431101836264,1
2,2,1,1,75,1,1,1,1,1,-0,-1,-0,-0,1,0,0.506792480242439,1
2,2,1,1,76,1,1,1,1,1,1,-0,-0,-0,-0,1,0.594350415747613,1
2,2,1,1,77,1,1,1,1,1,1,1,-0,-0,-0,-0,0.688100466155447,1
2,2,1,1,78,0,1,1,1,1,1,1,-0,-0,-0,-0,1.22981599566992,1
2,2,1,1,79,0,0,0,0,1,1,1,-1,-0,-0,-0,0.793177054380067,1
2,2,1,1,80,1,0,0,-0,0,1,1,1,-1,-0,-0,0.495991982053965,1
2,2,1,1,81,1,1,1,-1,-0,0,1,0,1,-1,-0,0.698020298266783,1
2,2,1,1,82,1,1,1,1,-1,-0,0,-0,0,1,-1,0.47441049083136,1
2,2,1,1,83,1,0,0,1,1,-1,-0,-0,-0,0,1,1.11139435542282,1
2,2,1,1,84,0,1,1,-1,1,1,-1,0,-0,-0,0,1.1380192139186,1
2,2,1,1,85,0,1,1,0,-1,1,1,-1,0,-0,-0,0.433363705174997,1
2,2,1,1,86,1,1,1,0,0,-1,1,-1,-1,0,-0,0.383673272328451,1
2,2,1,1,87,1,1,1,1,0,0,-1,-0,-1,-1,0,0.602731312275864,1
2,2,1,1,88,0,1,1,1,1,0,0,-0,-0,-1,-1,0.566037923796102,1
2,2,1,1,89,0,0,0,0,1,1,0,-1,-0,-0,-1,0.565946629852988,1
2,2,1,1,90,0,0,0,-0,0,1,1,1,-1,-0,-0,0.978936069528572,1
2,2,1,1,91,1,1,0,-0,-0,0,1,1,1,-1,-0,0.463703312096186,0
2,2,1,1,92,0,1,0,1,-0,-0,0,-0,1,1,-1,0.395809494657442,0
2,2,1,1,93,1,0,1,0,1,-0,-0,-1,-0,1,1,0.655327955028042,0
2,2,1,1,94,1,1,0,-1,0,1,-0,0,-1,-0,1,0.28539617836941,0
2,2,1,1,95,1,1,0,1,-1,0,1,-0,0,-1,-0,0.477297330391593,0
2,2,1,1,96,0,1,0,1,1,-1,0,-0,-0,0,-1,0.444061548565514,0
2,2,1,1,97,1,0,1,0,1,1,-1,-1,-0,-0,0,0.849979954771698,0
2,2,1,1,98,0,1,0,-1,0,1,1,0,-1,-0,-0,0.717055348213762,0
2,2,1,1,99,1,0,1,0,-1,0,1,-1,0,-1,-0,0.521244268398732,0
2,2,1,1,100,1,0,1,-1,0,-1,0,0,-1,0,-1,1.20057589246426,0
2,2,1,1,101,1,0,1,-1,-1,0,-1,0,0,-1,0,0.487383481115103,0
2,2,1,1,102,1,0,1,-1,-1,-1,0,0,0,0,-1,0.509635191061534,0
2,2,1,1,103,0,0,1,-1,-1,-1,-1,0,0,0,0,0.55433542735409,0
2,2,1,1,104,0,0,0,-0,-1,-1,-1,1,0,0,0,0,0
2,2,1,1,105,1,0,1,NaN,-0,-1,-1,NaN,1,0,0,0.702858433825895,0
2,2,1,1,106,0,0,0,-1,NaN,-0,-1,0,NaN,1,0,0.544452225323766,1
2,2,1,1,107,1,1,1,-0,-1,NaN,-0,1,0,NaN,1,0.592789528891444,1
2,2,1,1,108,1,1,1,1,-0,-1,NaN,-0,1,0,NaN,0.478070174111053,1
2,2,1,1,109,0,0,0,1,1,-0,-1,-0,-0,1,0,0.615964323980734,1
2,2,1,1,110,1,1,1,-0,1,1,-0,1,-0,-0,1,0.81126870913431,1
2,2,1,1,111,1,1,1,1,-0,1,1,-0,1,-0,-0,0.896192162763327,1
2,2,1,1,112,1,1,1,1,1,-0,1,-0,-0,1,-0,0.550696144462563,1
2,2,1,1,113,1,1,1,1,1,1,-0,-0,-0,-0,1,0.551256746752188,1
2,2,1,1,114,0,1,1,1,1,1,1,-0,-0,-0,-0,0.60132879705634,1
2,2,1,1,115,1,1,1,0,1,1,1,-1,-0,-0,-0,0.78859827585984,1
2,2,1,1,116,1,1,1,1,0,1,1,-0,-1,-0,-0,0.771616261685267,1
2,2,1,1,117,0,1,1,1,1,0,1,-0,-0,-1,-0,0.560538862133399,1
2,2,1,1,118,1,0,0,0,1,1,0,-1,-0,-0,-1,0.569176068180241,1
2,2,1,1,119,1,1,1,-1,0,1,1,0,-1,-0,-0,0.986154004349373,1
2,2,1,1,120,0,0,0,1,-1,0,1,-0,0,-1,-0,0.729732053470798,1
2,2,1,1,121,1,1,1,-0,1,-1,0,1,-0,0,-1,0.866850134101696,1
2,2,1,1,122,1,1,1,1,-0,1,-1,-0,1,-0,0,0.569066113093868,1
2,2,1,1,123,1,1,1,1,1,-0,1,-0,-0,1,-0,0.796272947220132,1
2,2,1,1,124,1,1,1,1,1,1,-0,-0,-0,-0,1,0.552039191359654,1
2,2,1,1,125,0,0,0,1,1,1,1,-0,-0,-0,-0,0.590891941916198,1
2,2,1,1,126,1,1,0,-0,1,1,1,1,-0,-0,-0,0.909473808947951,0
2,2,1,1,127,0,1,0,1,-0,1,1,-0,1,-0,-0,0.487297893501818,0
2,2,1,1,128,0,1,0,0,1,-0,1,-1,-0,1,-0,0.77629392046947,0
2,2,1,1,129,0,0,1,0,0,1,-0,-1,-1,-0,1,0.558983789174818,0
2,2,1,1,130,0,1,0,-0,0,0,1,1,-1,-1,-0,1.02922850369941,0
2,2,1,1,131,0,1,0,0,-0,0,0,-1,1,-1,-1,0.767390728229657,0
